"","age","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y","admin.","blue-collar","entrepreneur","housemaid","management","retired","self-employed","services","student","technician","unemployed","unknown"
"1",58,"2","3","0",2143,"1","0","-1",5,"5",261,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"2",44,"3","2","0",29,"1","0","-1",5,"5",151,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"3",33,"2","2","0",2,"1","1","-1",5,"5",76,1,-1,0,"-1","0",0,0,1,0,0,0,0,0,0,0,0,0
"4",47,"2","-1","0",1506,"1","0","-1",5,"5",92,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"5",33,"3","-1","0",1,"0","0","-1",5,"5",198,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,0,0,1
"6",35,"2","3","0",231,"1","0","-1",5,"5",139,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"7",28,"3","3","0",447,"1","1","-1",5,"5",217,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"8",42,"1","3","1",2,"1","0","-1",5,"5",380,1,-1,0,"-1","0",0,0,1,0,0,0,0,0,0,0,0,0
"9",58,"2","1","0",121,"1","0","-1",5,"5",50,1,-1,0,"-1","0",0,0,0,0,0,1,0,0,0,0,0,0
"10",43,"3","2","0",593,"1","0","-1",5,"5",55,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"11",41,"1","2","0",270,"1","0","-1",5,"5",222,1,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"12",29,"3","2","0",390,"1","0","-1",5,"5",137,1,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"13",53,"2","2","0",6,"1","0","-1",5,"5",517,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"14",58,"2","-1","0",71,"1","0","-1",5,"5",71,1,-1,0,"-1","0",0,0,0,0,0,0,0,0,0,1,0,0
"15",57,"2","2","0",162,"1","0","-1",5,"5",174,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"16",51,"2","1","0",229,"1","0","-1",5,"5",353,1,-1,0,"-1","0",0,0,0,0,0,1,0,0,0,0,0,0
"17",45,"3","-1","0",13,"1","0","-1",5,"5",98,1,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"18",57,"2","1","0",52,"1","0","-1",5,"5",38,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"19",60,"2","1","0",60,"1","0","-1",5,"5",219,1,-1,0,"-1","0",0,0,0,0,0,1,0,0,0,0,0,0
"20",33,"2","2","0",0,"1","0","-1",5,"5",54,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"21",28,"2","2","0",723,"1","1","-1",5,"5",262,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"22",56,"2","3","0",779,"1","0","-1",5,"5",164,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"23",32,"3","1","0",23,"1","1","-1",5,"5",160,1,-1,0,"-1","0",0,1,0,0,0,0,0,0,0,0,0,0
"24",25,"2","2","0",50,"1","0","-1",5,"5",342,1,-1,0,"-1","0",0,0,0,0,0,0,0,1,0,0,0,0
"25",40,"2","1","0",0,"1","1","-1",5,"5",181,1,-1,0,"-1","0",0,0,0,0,0,1,0,0,0,0,0,0
"26",44,"2","2","0",-372,"1","0","-1",5,"5",172,1,-1,0,"-1","0",1,0,0,0,0,0,0,0,0,0,0,0
"27",39,"3","3","0",255,"1","0","-1",5,"5",296,1,-1,0,"-1","0",0,0,0,0,1,0,0,0,0,0,0,0
"28",52,"2","2","0",113,"1","1","-1",5,"5",127,1,-1,0,"-1","0",0,0,1,0,0,0,0,0,0,0,0,0
